OCC_CODE,Total Employment,Hourly Mean,Annually Mean,Pay Annually,Pay Hourly,Year
110000,7616650,58.44,121560,,,2018
110000,8054120,58.88,122480,,,2019
110000,7947300,60.81,126480,,,2020
110000,8909910,59.31,123370,,,2021
111000,2535640,61.66,128240,,,2018
111000,2658440,61.09,127070,,,2019
111000,2601070,62.46,129920,,,2020
111000,3229990,57.94,120520,,,2021
111010,195530,96.22,200140,,,2018
111010,205890,93.2,193850,,,2019
111010,202360,95.12,197840,,,2020
111010,200480,102.41,213020,,,2021
111011,195530,96.22,200140,,,2018
111011,205890,93.2,193850,,,2019
111011,202360,95.12,197840,,,2020
111011,200480,102.41,213020,,,2021
111020,2289770,59.56,123880,,,2018
111020,2400280,59.15,123030,,,2019
111020,2347420,60.45,125740,,,2020
111020,2984920,55.41,115250,,,2021
111021,2289770,59.56,123880,,,2018
111021,2400280,59.15,123030,,,2019
111021,2347420,60.45,125740,,,2020
111021,2984920,55.41,115250,,,2021
111030,50330,,47620,TRUE,,2018
111030,52280,,49440,TRUE,,2019
111030,51290,,53560,TRUE,,2020
111030,44590,,57110,TRUE,,2021
111031,50330,,47620,TRUE,,2018
111031,52280,,49440,TRUE,,2019
111031,51290,,53560,TRUE,,2020
111031,44590,,57110,TRUE,,2021
112000,717220,68.03,141500,,,2018
112000,770540,68.91,143330,,,2019
112000,763970,71.51,148740,,,2020
112000,838050,69.77,145130,,,2021
112010,25260,63.99,133090,,,2018
112010,25100,68.22,141890,,,2019
112010,22490,70.94,147560,,,2020
112010,22520,68.68,142860,,,2021
112011,25260,63.99,133090,,,2018
112011,25100,68.22,141890,,,2019
112011,22490,70.94,147560,,,2020
112011,22520,68.68,142860,,,2021
112020,619500,68.75,143000,,,2018
112020,666280,69.55,144660,,,2019
112020,660380,72.31,150400,,,2020
112020,732490,70.48,146600,,,2021
112021,240440,70.79,147240,,,2018
112021,263680,71.73,149200,,,2019
112021,270200,74.27,154470,,,2020
112021,278690,73.77,153440,,,2021
112022,379050,67.46,140320,,,2018
112022,402600,68.12,141690,,,2019
112022,390170,70.95,147580,,,2020
112022,453800,68.46,142390,,,2021
112030,72460,63.26,131570,,,2018
112030,79160,63.77,132630,,,2019
112030,81110,65.18,135580,,,2020
112030,83040,63.85,132800,,,2021
112031,72460,63.26,131570,,,2018
112031,79160,63.77,132630,,,2019
112031,81110,65.18,135580,,,2020
112032,59850,66.35,138000,,,2021
112033,23190,57.4,119400,,,2021
113000,1853660,63.79,132680,,,2018
113000,1996160,64.69,134550,,,2019
113000,2012370,66.63,138590,,,2020
113000,2116020,67.26,139900,,,2021
113010,283570,50.99,106050,,,2018
113010,307280,51.23,106550,,,2019
