OCC_CODE,Job Title,OCC_Group
132010,Accountants and Auditors,broad
132011,Accountants and Auditors,detailed
272011,Actors,detailed
272010,"Actors, Producers, and Directors",broad
152010,Actuaries,broad
152011,Actuaries,detailed
291291,Acupuncturists,detailed
291298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed
519191,Adhesive Bonding Machine Operators and Tenders,detailed
231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed
113010,Administrative Services and Facilities Managers,broad
113011,Administrative Services and Facilities Managers,detailed
113012,Administrative Services Managers,detailed
253010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",broad
253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed
112010,Advertising and Promotions Managers,broad
112011,Advertising and Promotions Managers,detailed
413010,Advertising Sales Agents,broad
413011,Advertising Sales Agents,detailed
112000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor
173021,Aerospace Engineering and Operations Technologists and Technicians,detailed
172010,Aerospace Engineers,broad
172011,Aerospace Engineers,detailed
131010,"Agents and Business Managers of Artists, Performers, and Athletes",broad
131011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed
194010,Agricultural and Food Science Technicians,broad
194011,Agricultural and Food Science Technicians,detailed
191010,Agricultural and Food Scientists,broad
172020,Agricultural Engineers,broad
172021,Agricultural Engineers,detailed
452091,Agricultural Equipment Operators,detailed
452010,Agricultural Inspectors,broad
452011,Agricultural Inspectors,detailed
251041,"Agricultural Sciences Teachers, Postsecondary",detailed
194012,Agricultural Technicians,detailed
452000,Agricultural Workers,minor
452099,"Agricultural Workers, All Other",detailed
532021,Air Traffic Controllers,detailed
532020,Air Traffic Controllers and Airfield Operations Specialists,broad
532000,Air Transportation Workers,minor
531010,Aircraft Cargo Handling Supervisors,broad
531041,Aircraft Cargo Handling Supervisors,detailed
493010,Aircraft Mechanics and Service Technicians,broad
493011,Aircraft Mechanics and Service Technicians,detailed
532010,Aircraft Pilots and Flight Engineers,broad
536032,Aircraft Service Attendants,detailed
536098,"Aircraft Service Attendants and Transportation Workers, All Other",detailed
512010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",broad
512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed
532022,Airfield Operations Specialists,detailed
532011,"Airline Pilots, Copilots, and Flight Engineers",detailed
533010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",broad
533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed
393091,Amusement and Recreation Attendants,detailed
291211,Anesthesiologists,detailed
452020,Animal Breeders,broad
452021,Animal Breeders,detailed
392000,Animal Care and Service Workers,minor
392020,Animal Caretakers,broad
392021,Animal Caretakers,detailed
339010,Animal Control Workers,broad
339011,Animal Control Workers,detailed
191011,Animal Scientists,detailed
392010,Animal Trainers,broad
392011,Animal Trainers,detailed
193091,Anthropologists and Archeologists,detailed
251061,"Anthropology and Archeology Teachers, Postsecondary",detailed
231022,"Arbitrators, Mediators, and Conciliators",detailed
171011,"Architects, Except Landscape and Naval",detailed
171010,"Architects, Except Naval",broad
171000,"Architects, Surveyors, and Cartographers",minor
173011,Architectural and Civil Drafters,detailed
119040,Architectural and Engineering Managers,broad
119041,Architectural and Engineering Managers,detailed
170000,Architecture and Engineering Occupations,major
251031,"Architecture Teachers, Postsecondary",detailed
254011,Archivists,detailed
254010,"Archivists, Curators, and Museum Technicians",broad
251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed
271000,Art and Design Workers,minor
271011,Art Directors,detailed
251121,"Art, Drama, and Music Teachers, Postsecondary",detailed
271010,Artists and Related Workers,broad
271019,"Artists and Related Workers, All Other",detailed
251120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",broad
270000,"Arts, Design, Entertainment, Sports, and Media Occupations",major
512000,Assemblers and Fabricators,minor
512098,"Assemblers and Fabricators, All Other, Including Team Assemblers",detailed
192011,Astronomers,detailed
192010,Astronomers and Physicists,broad
272021,Athletes and Sports Competitors,detailed
272020,"Athletes, Coaches, Umpires, and Related Workers",broad
299091,Athletic Trainers,detailed
192020,Atmospheric and Space Scientists,broad
192021,Atmospheric and Space Scientists,detailed
251051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed
274011,Audio and Video Technicians,detailed
259010,Audio-Visual and Multimedia Collections Specialists,broad
259011,Audio-Visual and Multimedia Collections Specialists,detailed
291180,Audiologists,broad
291181,Audiologists,detailed
492097,Audiovisual Equipment Installers and Repairers,detailed
536030,Automotive and Watercraft Service Attendants,broad
536031,Automotive and Watercraft Service Attendants,detailed
493021,Automotive Body and Related Repairers,detailed
493022,Automotive Glass Installers and Repairers,detailed
493023,Automotive Service Technicians and Mechanics,detailed
493020,Automotive Technicians and Repairers,broad
492091,Avionics Technicians,detailed
396011,Baggage Porters and Bellhops,detailed
396000,"Baggage Porters, Bellhops, and Concierges",minor
396010,"Baggage Porters, Bellhops, and Concierges",broad
333011,Bailiffs,detailed
333010,"Bailiffs, Correctional Officers, and Jailers",broad
513010,Bakers,broad
513011,Bakers,detailed
395011,Barbers,detailed
395010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad
353010,Bartenders,broad
353011,Bartenders,detailed
493091,Bicycle Repairers,detailed
433010,Bill and Account Collectors,broad
433011,Bill and Account Collectors,detailed
433020,Billing and Posting Clerks,broad
433021,Billing and Posting Clerks,detailed
191021,Biochemists and Biophysicists,detailed
172030,Bioengineers and Biomedical Engineers,broad
172031,Bioengineers and Biomedical Engineers,detailed
251042,"Biological Science Teachers, Postsecondary",detailed
191020,Biological Scientists,broad
191029,"Biological Scientists, All Other",detailed
194020,Biological Technicians,broad
194021,Biological Technicians,detailed
472010,Boilermakers,broad
472011,Boilermakers,detailed
433030,"Bookkeeping, Accounting, and Auditing Clerks",broad
433031,"Bookkeeping, Accounting, and Auditing Clerks",detailed
472021,Brickmasons and Blockmasons,detailed
472020,"Brickmasons, Blockmasons, and Stonemasons",broad
536010,Bridge and Lock Tenders,broad
536011,Bridge and Lock Tenders,detailed
274010,Broadcast and Sound Engineering Technicians and Radio Operators,broad
273010,Broadcast Announcers and Radio Disc Jockeys,broad
273011,Broadcast Announcers and Radio Disc Jockeys,detailed
273021,Broadcast News Analysts,detailed
274012,Broadcast Technicians,detailed
434010,Brokerage Clerks,broad
434011,Brokerage Clerks,detailed
132030,Budget Analysts,broad
132031,Budget Analysts,detailed
370000,Building and Grounds Cleaning and Maintenance Occupations,major
372000,Building Cleaning and Pest Control Workers,minor
372010,Building Cleaning Workers,broad
372019,"Building Cleaning Workers, All Other",detailed
493030,Bus and Truck Mechanics and Diesel Engine Specialists,broad
493031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed
533020,Bus Drivers,broad
533051,"Bus Drivers, School",detailed
533022,"Bus Drivers, School or Special Client",detailed
533055,"Bus Drivers, Transit and Intercity",detailed
130000,Business and Financial Operations Occupations,major
131000,Business Operations Specialists,minor
131199,"Business Operations Specialists, All Other",detailed
251010,"Business Teachers, Postsecondary",broad
251011,"Business Teachers, Postsecondary",detailed
513021,Butchers and Meat Cutters,detailed
513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad
131020,Buyers and Purchasing Agents,broad
131021,Buyers and Purchasing Agents,detailed
517010,Cabinetmakers and Bench Carpenters,broad
